user_tna,response,business_area_id,question_id,user_id,weightage,doc_id
590rF35J5HlBTCFjBDlw,2,fgT0OfrgvOqwyNV5U9O4,Y1aoy9CzMzdeEYQUZvoT,KpxDdc6WKcRuFAR8lgsjaKeCrUh1,5,02psnxpixiC3AZDwJAem
AlAL7qJchFQw7ZWsJL8O,5,5XJc8NmM7JP4byHGNGQ9,ydIGluJmvzSaAYwKqbS0,KH0Fj3Ku1WNtCAa5p8QvwgrHulh1,5,09SiuJsKjksZCZI2Ul2s
d8FVjiI3BNjxnHAwVTiH,5,5XJc8NmM7JP4byHGNGQ9,lJy5tO7Bf1IjploRwmhV,yqn9QTGanOcpss7OpY2iCsc0TJz2,5,0AYBHUo37C1tELDfbigj
6TD1jHLF5GZm7ygEAhhH,2,fgT0OfrgvOqwyNV5U9O4,FIxElf8uiY7lWIdhcnRQ,Fof7REFL39O2LeeWIy65jWhP1Qq1,5,0Aa7sWTLFokeutnA8r0d
hq4qiSbNocL8dpo0w0Lp,3,5XJc8NmM7JP4byHGNGQ9,EMUU0CLgWLAjsBSmkrTb,qqO37uLDAocRnSeh27r6HEBYjiB3,5,0Ba639L4li8GwPgRJzcH
r7C21shb1aWyOlGFaIj1,3,DVhvy8x4RkF1e33R0LCW,86tRmahDIhZlKjhMFfrE,tNts4ruCZlWDTBaPQjbXsa12gt12,5,0CTRcSaDNGhViiYAkAch
R1kat1I55eoQ07qgj4g8,5,DVhvy8x4RkF1e33R0LCW,h2HDmviDM26TaNfxi18V,9gULcxfIZYRfZS7srPDkqJd9dgj1,5,0EUV3PJj7qgBvdVrqETt
Sr21QL1tct5S86A4NxxZ,5,fgT0OfrgvOqwyNV5U9O4,Ll16QRdyfDlPK3Uyfiwx,Vcz6mgAq33PXyLZy3FNXCU8HjjF2,5,0JZlGxGQGRBlSqGEoCh9
UERX8lmUZV4w2ZmwKvOO,4,DVhvy8x4RkF1e33R0LCW,A8Nk642hffXYOKUifpMm,2nknZIdftuV5TpOVoh6Z7DHzIYQ2,5,0JessK17620NUYIUXlrK
zDw90nxsHwgsTMQCXpEn,5,5XJc8NmM7JP4byHGNGQ9,BxHSuB2c3ZbxttqYLJHm,yG4zHnlJaxeJznv3sH55MCx84mH3,5,0JfnkYpp3cMsAsyBXLyj
CfTtX68f7VK8yvylkor2,5,DVhvy8x4RkF1e33R0LCW,2sQpPmF2d7YzRmg6yGyF,P9vShCbDYrQx5fNpT4nzuFDFkfg2,5,0LGssreaXaldjhW5eCkh
Rp1OnzKSd4tNmUMfgOPj,2,5XJc8NmM7JP4byHGNGQ9,dlijZFWEanM2nzm5VLQW,olY9c6XWEMUXp2rFeIoYxzF6I6h2,5,0LbgvwgqJoT4oMXDceph
r7C21shb1aWyOlGFaIj1,1,DVhvy8x4RkF1e33R0LCW,Kay1M1FvwSlfgs4G74xH,tNts4ruCZlWDTBaPQjbXsa12gt12,5,0M7fNoCQef9ZD9uFw5ke
lYB1aiu9QtFAnXM3KvKL,2,DVhvy8x4RkF1e33R0LCW,PyR5YNBqOZiDLErR9iS5,HwquyzEz5iSKAgcC77j884Ar9q33,5,0RijLHwDz7t9ME3WP56U
hH8NtiCQB1BSoLifWCVt,4,fgT0OfrgvOqwyNV5U9O4,lBOppPraWt1sFvFGNBxP,Tw4mjHo4yuOK9v7uCIYN39A2I4B2,5,0Tz5oLSxNz8XhQWMP2ih
iHgpcmvvLBGOxfotyNeO,5,5XJc8NmM7JP4byHGNGQ9,nFKvVpJ146i5R955I9Gw,C5x6jCTdXofDiAKppGDZZe3Cxnw1,5,0WkNgTsPsbdq5v0YOaE2
HAGG7nfYUbnaJHHLYEEW,2,5XJc8NmM7JP4byHGNGQ9,tcbdCLEBGwr1SUHvzDWq,0jt1zBwc6MaojsX5Wj9HzXBzTti1,5,0aK7HhFH8BgwtfleGz9e
iHgpcmvvLBGOxfotyNeO,4,5XJc8NmM7JP4byHGNGQ9,ydIGluJmvzSaAYwKqbS0,C5x6jCTdXofDiAKppGDZZe3Cxnw1,5,0bEhcjTko7tBQdkdKeAl
